,Unnamed: 0,path_image,character,comfort,UV,hu0,hu1,hu2,hu3,hu4,hu5,hu6,hu0_testa,hu1_testa,hu2_testa,hu3_testa,hu4_testa,hu5_testa,hu6_testa,hu0_olhos,hu1_olhos,hu2_olhos,hu3_olhos,hu4_olhos,hu5_olhos,hu6_olhos,hu0_nariz,hu1_nariz,hu2_nariz,hu3_nariz,hu4_nariz,hu5_nariz,hu6_nariz,hu0_boca,hu1_boca,hu2_boca,hu3_boca,hu4_boca,hu5_boca,hu6_boca,hu0_queixo,hu1_queixo,hu2_queixo,hu3_queixo,hu4_queixo,hu5_queixo,hu6_queixo
1228,1228,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000199.bmp,3,68.91,0,2.8577843243374264,9.031753517683732,11.1299916128011,11.89264645906666,23.575991247082143,-16.898815559906158,23.53490986150872,2.2711817012900677,4.583480476712754,7.440362756891995,7.442866243028078,14.884482065490843,9.73576802661263,17.49216027374827,2.7837879471342823,5.860568418763194,10.130587483631942,10.392840501638446,20.842135637207225,13.354150330161787,20.77341743521088,2.6656477487227845,5.438965404640276,10.140242002068725,10.192287929206802,20.359192282221425,12.91751930738775,-21.62436763893799,2.602730502873007,5.320204605880127,9.117191638424334,10.0133757947668,-20.05356101605957,-12.83642449810049,19.604514843621754,2.7288579080167756,5.599748854718143,9.281208871682315,10.15717743147135,20.611811061743378,-13.52186972105927,19.883840606537127
1229,1229,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000202.bmp,3,68.91,0,2.858051364077205,9.070556255675402,11.118231291148897,11.863431238019611,23.56437907161815,-16.799757374832556,23.45806152965504,2.271636635855178,4.584417877397555,7.4465653605070825,7.449079222393904,14.89690283224504,9.742453879323236,17.505255628138766,2.7841029821615333,5.861296609307051,10.129480880046225,10.395417976081994,20.844767819643657,13.35634050252546,20.777227755724255,2.6586857078990405,5.420955039154426,10.430078625513078,10.41589768998924,20.841342594430152,13.137713463312414,-21.81331003100466,2.61047682579992,5.341239648355611,9.14054667538415,9.902658148918231,19.931201980226387,-13.223541872540196,19.44638155823623,2.734044742276485,5.613001850066713,9.303466020388761,10.109271078534853,20.159800349774763,-14.26334281736287,19.865446355641954
1230,1230,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000203.bmp,3,68.91,0,2.8575746553913097,9.151320727026333,11.12728252859278,11.869257677434335,23.517159431736008,-16.911161786089277,23.518929732925816,2.26195341055298,4.563963275478117,7.410396740195289,7.412485366512202,14.823927767822571,9.69572084728108,17.427466293064867,2.783215779197503,5.858059949648218,10.140893483645927,10.386075075340491,20.83874242708669,13.348732455469266,20.767262329079504,2.667292225887577,5.44311215800645,10.151784191241676,10.212269280793183,20.394862772125023,12.942134334295462,-21.686258690074087,2.6023561264567117,5.319927449556814,9.137125521392194,10.034004145489313,-20.09464692724051,-12.854655407307133,19.645402010675845,2.727891473463969,5.59541506170635,9.293747854230059,10.141192446713386,20.393550453650438,-13.683649064359194,19.87798949558085
1231,1231,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000205.bmp,3,68.91,0,2.857285735258103,9.029907870910936,11.12549473919131,11.8875260069342,23.50393906496855,-17.129110639513108,23.594547989352268,2.2702179989448092,4.582748178687107,7.529606049202769,7.521582447958631,15.047179964299106,9.814333030286113,17.458430426943785,2.783534213415857,5.8542844118370905,10.047650008112962,10.367888478283993,20.724287276806635,13.321433158667276,20.728074676207104,2.666678563906751,5.441395193552993,10.149565616585859,10.205217319737859,20.383186253742192,12.93256815977031,-21.67051146440784,2.601571665500989,5.3181430278428605,9.138987442035676,10.053809320171228,-19.988955460289027,-12.829899403263486,19.7014320760212,2.7299796482844925,5.601926876206337,9.286430209760134,10.167933991575438,20.69543875185816,-13.50396048702607,19.900631951547233
1232,1232,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000211.bmp,3,68.91,0,2.8526521122691166,9.05489057370234,11.006636019393708,11.67631644468169,23.25727494743513,-16.568044698911997,23.105378947338217,2.299055204099322,4.645359210765715,7.503700557701903,7.506904562065019,15.012208750633729,9.831281667791671,17.57466651258923,2.7738600719604554,5.806026388516932,10.172089181254956,10.344848052255436,20.702357466324706,13.261815962429758,20.821428226982693,2.668011173082893,5.4414794727206175,9.863827819115706,9.964961775658532,19.879470552945577,12.691696185194779,-21.51937658265548,2.620186162386807,5.3723887417510525,9.170024574017491,10.05126652364525,-20.35665893916017,-12.949878553382275,19.670954215008493,2.743085702934786,5.6402012690258605,9.286856445201321,10.197951722236747,21.196062463415238,-13.466977305016364,19.941025707115536
1233,1233,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000212.bmp,3,68.91,0,2.8526962241481586,9.064912756715648,11.008346325800677,11.66824092931168,23.22191358206114,-16.582750830693826,23.107170326880983,2.3004914688855815,4.648340495180525,7.51077153650804,7.514041081673047,15.026448967092364,9.839912468206924,17.596001935197158,2.7742325486554615,5.806721226691802,10.166873384933718,10.336787327929368,20.685413985656826,13.25331552063733,20.81066873527755,2.667731513066115,5.440906796003785,9.870456996996472,9.973200149101995,19.895141040828666,12.699761689160496,-21.53823604640891,2.6229712461502013,5.379581068414305,9.189386616847488,10.088780274554308,-20.223593099884656,-12.939495218459484,19.751222205312423,2.738245842183395,5.627847520007357,9.256314076520585,10.223506690784815,-20.59291927354632,-13.277029672208295,19.975719602474797
1234,1234,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000230.bmp,3,68.91,0,2.85853876742403,8.770179774333602,10.942689265194735,11.570701956955922,22.83033085603455,16.468809447386118,23.76356236584439,2.2661109346280552,4.570867894961624,7.3170530610757485,7.324511504599557,14.645294081932647,9.610598108360382,17.57913180821601,2.7624088753601272,5.797094311565037,10.053733581044714,10.197776584976724,20.44164713996214,13.119001393141604,20.512142738700152,2.6860825669002635,5.484117427882468,10.204118701328666,10.287448674452538,20.53444209507322,13.044828028870343,-21.66086939025698,2.627630747403397,5.3957872617116305,9.231238487207342,10.064933599347864,20.861799256424874,-13.14530152973033,19.714116857890982,2.749348569477747,5.651906405350938,9.266739671418431,10.194209975948214,-21.145360523720342,-13.383242330254367,19.925472189857967
1235,1235,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000233.bmp,3,68.91,0,2.857748778802191,8.725051725369648,10.9234134235366,11.556340443275442,22.798623351880263,16.470580012912777,23.775150838226395,2.2687748052280816,4.577503754360092,7.405657026144646,7.405568389298441,14.811182077730859,9.695185113879768,17.483788249848384,2.7647922682461528,5.794024807720936,10.113708744306575,10.294575396622166,20.62432895399347,13.214279389727048,20.677366525084853,2.6823238852798816,5.474862146060588,10.194602923327741,10.274982037007542,20.510904558414552,13.025670582837629,-21.652169304191712,2.626705205476308,5.392826058417799,9.253420379823083,10.13945021353601,-20.483509803535803,-13.047282397941434,19.84717692113517,2.7583483463345333,5.6838536879377495,9.24031310007333,10.273323789392371,-20.21090653830317,-13.196786330874923,20.154111133111797
1236,1236,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000249.bmp,3,68.91,0,2.854929193821568,8.47145105423583,10.750694806609566,11.32785654268525,-23.00685842389206,-15.67479871812467,22.3788533702834,2.2675967711720806,4.572998479858725,7.323483107701087,7.330452300741049,14.657420510832349,9.617619294633426,17.47377785379904,2.7607149503955553,5.7814354567168165,10.024399309469358,10.162842023821664,20.347644188305235,13.074336433559342,20.48888425341856,2.6772758282246296,5.457331526103506,10.220607002688403,10.267816957677006,20.51424141786451,13.009913853293623,-21.50907171917129,2.6455884708121538,5.4409694813105185,9.29459890718368,10.078736505203786,20.226366434223202,-13.49123526492874,19.793087596187895,2.7697887448195524,5.716963237062757,9.306610993643595,10.387553003418617,-20.245436867523193,-13.248705761028479,20.89164132001049
1237,1237,E:\Greice\Doutorado\Modelos\UV6.0\cropped\3\frame_det_00_000265.bmp,3,68.91,0,2.853070327110826,8.408422964360778,10.736356090586447,11.037634008346105,-21.9260022896445,-15.242414164857824,23.024820538697497,2.309941629040139,4.664645488748391,7.4811904264128914,7.487418424403075,14.971723868556387,9.820406309373167,17.636067701947674,2.7515320918378925,5.744732962250623,9.93456537129807,10.102728837166577,20.183617013809783,12.986210653324772,20.423092268386757,2.665566638493523,5.424988070845932,10.142242575239854,10.172682661755852,20.331670713623208,12.889095218685204,-21.40758808699099,2.655204859983143,5.46024444525071,9.374401021100246,10.174799007507836,20.439263750375986,-13.490072630368918,19.97343367427265,2.75523798474054,5.6717611625501565,9.25331030462452,10.30889780843097,-20.154447857237628,-13.174632991227991,20.385207704407478
